grupo;codigo;municipio;valor_pct;Sigla;IDH;esperanca_vida;numeroPessoas;anos_estudo;taxa_analfabetismo;renda_percapta;tx_desemprego;municipio_merge
Grupo_1 - PropPretos;2929107;São Felipe;0.1238611179512434;BA;0.616;72.21;20305;8.71;22.64;268.96;7.15;São Felipe (BA)
Grupo_1 - PropPretos;2107605;Palmeirândia;0.1242272436580686;MA;0.556;67.9;18764;9.49;26.15;167.06;5.07;Palmeirândia (MA)
Grupo_1 - PropPretos;2914901;Itacaré;0.1245168188173368;BA;0.583;73.42;24318;6.95;23,00;323.3;8.16;Itacaré (BA)
Grupo_1 - PropPretos;2200954;Aroeiras do Itaim;0.1254098360655737;PI;0.519;69.27;2440;6.87;36.64;182.29;15.36;Aroeiras do Itaim (PI)
Grupo_1 - PropPretos;2211357;Várzea Branca;0.1255851821697537;PI;0.553;69.57;4913;7.94;31.49;201.49;3.42;Várzea Branca (PI)
Grupo_1 - PropPretos;2206704;Nazaré do Piauí;0.1279879797841825;PI;0.576;67.41;7321;9.88;31.15;218.07;7.68;Nazaré do Piauí (PI)
Grupo_1 - PropPretos;2902203;Aramari;0.1281387006775608;BA;0.588;70.63;10036;7.48;19.58;274.61;17.21;Aramari (BA)
Grupo_1 - PropPretos;2915007;Itaeté;0.1291878852854463;BA;0.572;68.15;14924;9.0;26.32;224.79;10.49;Itaeté (BA)
Grupo_1 - PropPretos;2933505;Wenceslau Guimarães;0.1168597052593627;BA;0.544;70.11;22189;7.32;30.47;257.12;7.02;Wenceslau Guimarães (BA)
Grupo_1 - PropPretos;2202109;Campinas do Piauí;0.1172337278106509;PI;0.544;71.55;5408;7.99;27.68;209.0;3.66;Campinas do Piauí (PI)
Grupo_1 - PropPretos;2204907;Isaías Coelho;0.1173823135871548;PI;0.582;71.0;8221;8.49;34.79;397.98;5.45;Isaías Coelho (PI)
Grupo_1 - PropPretos;2900801;Alcobaça;0.1181890837290207;BA;0.608;71.28;21271;8.1;23.59;357.99;8.72;Alcobaça (BA)
Grupo_1 - PropPretos;2922201;Muniz Ferreira;0.1191745250785841;BA;0.617;70.64;7317;9.61;22.54;297.78;11.37;Muniz Ferreira (BA)
Grupo_1 - PropPretos;2931202;Taperoá;0.1197994452741626;BA;0.566;70.22;18748;7.36;27.21;270.97;5.41;Taperoá (BA)
